"","fall_type","name","stream_name","verifiedx","verifiedy","tallest_drop_feet","number_of_drops","source_dataset","source_date","total_height_feet","source_url"
"2140","steep cascade","Far Country Falls","Long Marsh Creek",-122.128114841,47.5210056340001,NA,1,"World Waterfall Database",2017-02-17,20,NA
"2141","segmented horsetails","Feature Show Falls",NA,-121.823164966,48.2394057060001,259,1,"World Waterfall Database",2017-02-17,259,NA
"2142",NA,"Fifteenmile Falls","Fifteenmile Creek",-121.988214809,47.4830056480001,NA,NA,NA,NA,NA,NA
"2143",NA,"Finney Creek Falls","Finney Creek",-121.689955,48.4639057320001,NA,NA,NA,NA,NA,NA
"2144",NA,"Fir Creek Falls","Fir Creek",-123.302924982,47.3354054960001,NA,NA,"World Waterfall Database",2017-02-17,225,NA
"2145","horsetail","First Falls",NA,-121.770044918,48.085205704,49,1,"World Waterfall Database",2017-02-17,49,NA
"2146",NA,"Fish Creek Falls","Fish Creek",-121.7747748,47.4058056709398,NA,NA,NA,NA,NA,NA
"2147",NA,"Fitzhenry Creek Falls","Fitzhenry Creek",-123.589215179,47.966005495,NA,NA,NA,NA,NA,NA
"2148",NA,"Flattery Creek Falls","Flattery Creek",-124.722675456,48.3826053860001,NA,NA,NA,NA,NA,NA
"2149",NA,"Fletcher Creek Falls","Fletcher Creek",-123.710365086,47.5081054600001,NA,NA,"World Waterfall Database",2017-02-17,75,NA
"2150",NA,"Fobes Creek Falls","Fobes Creek",-122.119905111,48.621905692,NA,NA,NA,NA,NA,NA
"2151",NA,"Fontal Falls","Barr Creek",-121.901334877,47.826605676,NA,NA,NA,NA,NA,NA
"2152",NA,"Frog Creek Falls","Frog Creek",-123.346065166,48.0629055270001,NA,NA,NA,NA,NA,NA
"2153",NA,"Furland Creek Falls","Furland Creek",-121.706884948,48.2420057190001,NA,NA,NA,NA,NA,NA
"2154",NA,"Galena Creek Falls","Galena Creek",-121.6669951,48.8662057560001,NA,NA,NA,NA,NA,NA
"2155","tiered horsetail","Gatton Creek Falls","Gatton Creek",-123.832195095,47.468805445,NA,3,"World Waterfall Database",2017-02-17,60,NA
"2156",NA,"Geoduck Creek Falls","Geoduck Creek",-123.593345108,47.6762054810001,NA,NA,NA,NA,NA,NA
"2157",NA,"Gibson Peak Falls",NA,-123.73590508,47.470605456,NA,NA,NA,NA,NA,NA
"2158",NA,"Gilligan Creek Falls","Gilligan Creek",-122.125365073,48.4684056840001,NA,NA,NA,NA,NA,NA
"2159",NA,"Glacier Creek Falls","Glacier Creek",-123.731935164,47.8174054720001,NA,NA,NA,NA,NA,NA
"2160",NA,"Go Forth Creek Falls","Go Forth Creek",-123.719485,47.33790545094,NA,NA,NA,NA,NA,NA
"2161","tiered horsetail","Gold Run Falls",NA,-121.67546512,48.937705759,163,3,"World Waterfall Database",2017-02-17,294,NA
"2162","veiling horsetail","Gossamer Falls",NA,-121.623314761,47.53500569,102,1,"World Waterfall Database",2017-02-17,102,NA
"2163",NA,"Grandy Creek Falls","Grandy Creek",-121.824115053,48.5822057240001,NA,NA,NA,NA,NA,NA
"2164","gradual cascade","Granite Falls","South Fork Stilliguamish River",-121.954874954,48.1027056840001,25,2,"World Waterfall Database",2017-02-17,40,NA
"2165",NA,"Graves Creek Falls","Graves Creek",-123.523535072,47.571105484,NA,NA,NA,NA,NA,NA
"2166",NA,"Gray Wolf Falls",NA,-123.271495097,47.8313055240001,NA,NA,NA,NA,NA,NA
"2167",NA,"Green Mountain Falls",NA,-121.650364763,47.5213056860001,NA,NA,NA,NA,NA,NA
"2168",NA,"Groat Mountain Falls",NA,-121.979915134,48.798605717,NA,NA,NA,NA,NA,NA
"2169",NA,"Grouse Butte Falls",NA,-121.933865127,48.8008057220001,NA,NA,NA,NA,NA,NA
"2170","horsetail","Guardian Falls","Rachor Creek",-121.706394776,47.541305681,NA,1,"World Waterfall Database",2017-02-17,25,NA
"2171",NA,"Hadley Falls","Black Creek",-121.748814906,48.0454057040001,NA,2,"World Waterfall Database",2017-02-17,NA,NA
"2172",NA,"Hadley Falls",NA,-121.8117251,48.8309057409346,NA,NA,NA,NA,NA,NA
"2173",NA,"Half Mile Falls","Boulder River",-121.81067497,48.263005709,NA,NA,NA,NA,NA,NA
"2174",NA,"Halhomish Falls","Falls Creek",-122.060975141,48.772605706,NA,NA,NA,NA,NA,NA
"2175","sliding horsetail","Hall Creek Falls","Hall Creek",-121.659524743,47.42860568,NA,2,"World Waterfall Database",2017-02-17,103,NA
"2176","tiered plunge","Hamma Hamma Falls","Hamma Hamma River",-123.260375032,47.5755055130001,66,2,"World Waterfall Database",2017-02-17,82,NA
"2177",NA,"Hancock Falls","Hancock Creek",-121.700844784,47.5759056840001,NA,NA,NA,NA,NA,NA
"2178",NA,"Hanging Rock Falls",NA,-121.69068509,48.8132057500001,NA,NA,NA,NA,NA,NA
"2179",NA,"Hannan Creek Falls","Hannan Creek",-121.877794859,47.768905675,NA,NA,NA,NA,NA,NA
"2180","tiered horsetail","Hard Scrabble Falls","Hard Scrabble Falls Creek",-122.229685165,48.7599056860001,160,3,"World Waterfall Database",2017-02-17,280,NA
"2181",NA,"Harlow Creek Falls","Harlow Creek",-123.87063516,47.716005452,NA,NA,NA,NA,NA,NA
"2182",NA,"Harlow Lakes Falls","Harlow Creek",-123.861805161,47.725505453,NA,NA,NA,NA,NA,NA
"2183",NA,"Harris Creek Falls","Harris Creek",-123.663205044,47.3651054580001,NA,NA,NA,NA,NA,NA
"2184","horsetail","Hatana Falls","Hidden Creek",-123.254965078,47.7636055230001,NA,1,"World Waterfall Database",2017-02-17,NA,NA
"2185",NA,"Hawkins Lake Falls",NA,-121.752974979,48.337705719,NA,NA,NA,NA,NA,NA
"2186",NA,"Hayden Pass Falls",NA,-123.351125099,47.7894055130001,NA,NA,NA,NA,NA,NA
"2187",NA,"Hearty Falls","Hearty Creek",-121.910565084,48.649205717,NA,NA,NA,NA,NA,NA
"2188",NA,"Heather Creek Falls","Heather Creek",-123.173915074,47.8017055340001,NA,NA,NA,NA,NA,NA
"2189","steep tiered cascades","Heather Creek Falls","Heather Creek",-121.781884921,48.0878057030001,38,2,"World Waterfall Database",2017-02-17,52,NA
"2190","curtain horsetail","Heather Meadows Falls","Galena Creek",-121.6720051,48.862005755,NA,1,"World Waterfall Database",2017-02-17,30,NA
"2191",NA,"Herman Falls","Herman Creek",-124.375345347,48.1624054160001,NA,NA,NA,NA,NA,NA
"2192","horsetail","Hi Hi Kwitht Falls","Beach Creek",-124.693385453,48.388505389,NA,1,"World Waterfall Database",2017-02-17,40,NA
"2193",NA,"Hidden Falls",NA,-123.556325042,47.426905473,NA,NA,NA,NA,NA,NA
"2194","steep cascade","Hidden Falls","Cascade Creek",-122.822665232,48.648305614,NA,1,"World Waterfall Database",2017-02-17,10,NA
"2195","plunging punchbowl","Hidden Falls","Tokul Creek",-121.819144799,47.55630567,16,1,"World Waterfall Database",2017-02-17,16,NA
"2196","steep cascade","Hogsback Falls","West Fork Heliotrope Creek",-121.865845113,48.79110573,NA,1,"World Waterfall Database",2017-02-17,130,NA
"2197",NA,"Hoh Lake Falls",NA,-123.788925192,47.8950054700001,NA,NA,NA,NA,NA,NA
"2198",NA,"Hoh River Falls","Hoh Riverr",-123.633735148,47.8147054830001,NA,NA,NA,NA,NA,NA
"2199","gradual cascade","Hoko Falls","Hoko River",-124.431415366,48.2002054110001,NA,1,"World Waterfall Database",2017-02-17,5,NA
"2200",NA,"Home Sweet Home Falls",NA,-123.300695053,47.635805512,NA,NA,NA,NA,NA,NA
"2201",NA,"Homeymoon Basin Falls 2",NA,-123.322165074,47.709805513,NA,NA,NA,NA,NA,NA
"2202",NA,"Homeymoon Basin Falls 3",NA,-123.315945074,47.708905513,NA,NA,NA,NA,NA,NA
"2203",NA,"Honeymoon Basin Falls 1",NA,-123.318485075,47.7142055130001,NA,NA,NA,NA,NA,NA
"2204",NA,"Honeymoon Cascades","North Fork Dosewallips River",-123.309105073,47.7110055140001,NA,NA,NA,NA,NA,NA
"2205",NA,"Honeymoon Falls","Six Stream",-123.387485045,47.547405498,NA,NA,"World Waterfall Database",2017-02-17,70,NA
"2206",NA,"Hot Springs Falls","Boulder Creek",-123.690735197,47.9763054840001,NA,NA,NA,NA,NA,NA
"2207",NA,"Howe Creek Falls","Howe Creek",-123.64664508,47.523805468,NA,NA,NA,NA,NA,NA
"2208",NA,"Hubert Glacier Falls","South Fork Hoh River",-123.710006820767,47.7832121658767,NA,NA,NA,NA,NA,NA
"2209","horsetail","Humpback Falls","Twentytwo Creek",-121.758554914,48.0758057040001,23,1,"World Waterfall Database",2017-02-17,23,NA
"2210","segmented steep cascade","Hundred Step Falls","Twentytwo Creek",-121.761544914,48.0717057040001,100,4,"World Waterfall Database",2017-02-17,225,NA
"2211",NA,"Huntoon Falls",NA,-121.669975092,48.8350057540001,NA,NA,NA,NA,NA,NA
"2212",NA,"Hurricane Creek Falls","Hurrican Creek",-123.589145182,47.9756054960001,NA,NA,NA,NA,NA,NA
"2213",NA,"Ice River Falls","Ice River",-123.64221516,47.8575054840001,NA,NA,NA,NA,NA,NA
"2214",NA,"Imperfection Falls","Donkey Creek",-123.815305058,47.3276054400001,NA,NA,NA,NA,NA,NA
"2215",NA,"Infatuation Falls","Hearty Creek",-121.904145085,48.6567057180001,NA,NA,NA,NA,NA,NA
"2216","horsetail","Iron Horse Falls","Boetzke Creek",-121.713064753,47.4373056750001,NA,1,"World Waterfall Database",2017-02-17,150,NA
"2217",NA,"Iron Mountain Falls",NA,-121.964485047,48.470005702,NA,NA,NA,NA,NA,NA
"2218",NA,"Jackson Creek Falls","Jackson Creek",-123.913725199,47.847705454,NA,NA,NA,NA,NA,NA
"2219","tiered plunge","Jefferson Creek Falls","Jefferson Creek",-123.148915014,47.571075525,11,9,"World Waterfall Database",2017-02-17,29,NA
"2220",NA,"Johns Creek Falls","Johns Creek",-123.077295,47.5412055309394,NA,NA,NA,NA,NA,NA
"2221",NA,"Jones Creek Falls","Jones Creek",-122.218785151,48.7131056860001,NA,NA,NA,NA,NA,NA
"2222",NA,"Jones Creek Falls","Jones Creek",-122.0846251,48.5805056909357,NA,NA,NA,NA,NA,NA
"2223",NA,"Judd Bay Falls",NA,-122.923195257,48.683605604,NA,NA,NA,NA,NA,NA
"2224","tiered horsetail","Junction Falls",NA,-121.699554778,47.5536056830001,56,3,"World Waterfall Database",2017-02-17,118,NA
"2225","tiered horsetail","Kamikaze Falls","Teneriffe Creek",-121.708014768,47.5021056790001,226,3,"World Waterfall Database",2017-02-17,414,NA
"2226",NA,"Katrine Creek Falls","Katrine Creek",-121.609934784,47.6415056980001,NA,NA,NA,NA,NA,NA
"2227","tiered horsetail","Kelly Creek Falls","Kelley Creek",-121.810824915,48.0435056970001,67,2,"World Waterfall Database",2017-02-17,91,NA
"2228","tiered plunge","Kennedy Falls","Kennedy Creek",-123.126584894,47.077405502,NA,NA,NA,NA,NA,NA
"2229",NA,"King Lake Falls",NA,-122.017684974,48.1459056790001,NA,NA,NA,NA,NA,NA
"2230","plunge","Klahanie Falls","Bear Creek",-121.733835046,48.6141057360001,59,1,"World Waterfall Database",2017-02-17,59,NA
"2231",NA,"Kromona Falls","South Fork of the South Fork Sultan River",-121.623804859,47.942905712,NA,NA,NA,NA,NA,NA
"2232","tiered horsetail","Kulshan Falls","Kulshan Creek",-121.873075116,48.796105729,94,5,"World Waterfall Database",2017-02-17,215,NA
"2233",NA,"Kulshan Ridge Falls",NA,-121.693795097,48.837205752,NA,NA,NA,NA,NA,NA
"2234","horsetail","La Follette Falls",NA,-123.946205262,48.0800054600001,NA,1,"World Waterfall Database",2017-02-17,150,NA
"2235",NA,"Lacrosse Falls",NA,-123.355755066,47.6534055060001,NA,NA,NA,NA,NA,NA
"2236",NA,"Landslide Falls","Wells Creek",-121.779675123,48.882905744,NA,NA,NA,NA,NA,NA
"2237","steep cascade","Laplash Falls","Bear Creek",-121.737525047,48.6186057350001,26,2,"World Waterfall Database",2017-02-17,47,NA
"2238",NA,"Lasiocarpa Falls",NA,-121.770175113,48.8495057430001,NA,NA,NA,NA,NA,NA
"2239","gradual cascade","Laughing Jacobs Falls","Laughing Jacobs Creek",-122.039134837,47.5656056460001,NA,1,"World Waterfall Database",2017-02-17,20,NA
"2240",NA,"Lava Divide Falls",NA,-121.705645078,48.753705746,300,8,"World Waterfall Database",2017-02-17,992,NA
"2241",NA,"Lena Creek Cascades","Lena Creek",-123.195785036,47.6310055230001,NA,NA,NA,NA,NA,NA
"2242",NA,"Lena Creek Falls","Lena Creek",-123.190945036,47.6310055230001,NA,NA,NA,NA,NA,NA
"2243","tiered horsetail","Lilliwaup Falls","Lilliwaup Creek",-123.118464985,47.470305523,64,4,"World Waterfall Database",2017-02-17,142,NA
"2244","horsetail","Lily Creek Falls","Lily Creek",-122.066844727,47.075905617,NA,1,"World Waterfall Database",2017-02-17,250,NA
"2245",NA,"Litchy Creek Falls",NA,-123.564255078,47.567905479,NA,NA,NA,NA,NA,NA
"2246","steep cascade","Little Cascade Falls",NA,-121.848665139,48.9007057370001,NA,4,"World Waterfall Database",2017-02-17,150,NA
"2247",NA,"Little Hadley Falls",NA,-121.8158651,48.8331057409346,NA,NA,NA,NA,NA,NA
"2248","steep cascade","Little Mineral Falls",NA,-123.8816152,47.8697054580001,NA,1,"World Waterfall Database",2017-02-17,89,NA
"2249",NA,"Little Mountain Falls",NA,-121.889655149,48.913905733,NA,NA,NA,NA,NA,NA
"2250",NA,"Little Sandy Creek Falls","Little Sandy Creek",-121.725125069,48.7074057410001,NA,NA,NA,NA,NA,NA
"2251","tiered horsetail","Little Weber Falls",NA,-121.633175013,48.5503057430001,63,3,"World Waterfall Database",2017-02-17,95,NA
"2252","steep tiered cascades","Lone Tree Falls",NA,-121.692944943,48.2345057200001,84,3,"World Waterfall Database",2017-02-17,209,NA
"2253","tiered horsetail","Loomis Mountain Falls",NA,-121.875145083,48.668805723,NA,5,"World Waterfall Database",2017-02-17,243,NA
"2254",NA,"Lost Creek Falls","Lost Creek",-121.758504754,47.412305669,NA,NA,"World Waterfall Database",2017-02-17,200,NA
"2255",NA,"Lost Lake Falls","Oyster Creek",-122.457255176,48.657605656,NA,NA,NA,NA,NA,NA
"2256","segmented horsetails","Lover's Lane Falls","Canyon Creek",-123.826135211,47.950405468,53,1,"World Waterfall Database",2017-02-17,53,NA
"2257",NA,"Low Divide Falls",NA,-123.566845116,47.7231054860001,NA,NA,NA,NA,NA,NA
"2258",NA,"Lower Agathot Falls",NA,-121.675285091,48.828405753,NA,NA,NA,NA,NA,NA
"2259",NA,"Lower Anderson Creek Falls","Anderson Creek",-121.661075046,48.660605746,NA,NA,NA,NA,NA,NA
"2260",NA,"Lower Bagley Creek Falls","Bagley Creek",-121.666325103,48.880505757,NA,NA,NA,NA,NA,NA
"2261",NA,"Lower Blue Lake Falls",NA,-121.761435058,48.6414057330001,NA,NA,NA,NA,NA,NA
"2262","tiered plunge","Lower Boulder Creek Falls","Boulder Creek",-123.7134152,47.967405480938,20,3,"World Waterfall Database",2017-02-17,35,NA
"2263",NA,"Lower Boyd Creek Falls","Boyd Creek",-121.893185042,48.4948057120001,NA,NA,NA,NA,NA,NA
"2264",NA,"Lower Canyon Creek Falls","Canyon Creek",-123.82343521,47.9469054680001,NA,NA,NA,NA,NA,NA
"2265","gradual cascade","Lower Canyon Creek Falls","Canyon Creek",-121.967654957,48.111405683,8,2,"World Waterfall Database",2017-02-17,15,NA
"2266",NA,"Lower Cedar Falls","Cedar River",-121.772564758,47.417405667,NA,NA,"World Waterfall Database",2017-02-17,80,NA
"2267",NA,"Lower Constance Falls","Constance Creek",-123.140985052,47.7335055340001,NA,NA,NA,NA,NA,NA
"2268",NA,"Lower Davis Creek Falls","Davis Creek",-121.930465147,48.879105726,NA,NA,NA,NA,NA,NA
"2269",NA,"Lower Deadhorse Falls","Deadhorse Creek",-121.835925137,48.900105738,NA,NA,NA,NA,NA,NA
"2270",NA,"Lower Dicks Creek Falls","Dicks Creek",-121.834534985,48.309605708,NA,NA,NA,NA,NA,NA
"2271","tiered plunge","Lower Dock Butte Falls",NA,-121.765495056,48.6332057330001,35,2,"World Waterfall Database",2017-02-17,48,NA
"2272",NA,"Lower Dosewallips Falls","Dosewallips River",-123.081405044,47.73610554,NA,NA,NA,NA,NA,NA
"2273",NA,"Lower Eight Stream Falls","Eight Stream",-123.374805056,47.6015055020001,NA,NA,NA,NA,NA,NA
"2274",NA,"Lower Elkhorn Creek Falls","Elkhorn Creek",-123.607215148,47.8302054870001,NA,NA,NA,NA,NA,NA
"2275",NA,"Lower Falls Creek Falls","Falls Creek",-121.810004695,47.1210056470001,NA,NA,NA,NA,NA,NA
"2276",NA,"Lower Fulton Creek Falls","Fulton Creek",-122.984545002,47.6279055460001,NA,NA,NA,NA,NA,NA
"2277",NA,"Lower Grandy Creek Falls","East Fork Grandy Creek",-121.825295051,48.5736057230001,NA,NA,NA,NA,NA,NA
"2278","steep cascade","Lower Hamma Hamma Falls","Hamma Hamma River",-123.223325028,47.5818055170001,37,1,"World Waterfall Database",2017-02-17,37,NA
"2279",NA,"Lower Hancock Falls","Hancock Creek",-121.705764784,47.572905683,NA,NA,NA,NA,NA,NA
"2280",NA,"Lower Hearty Falls","Hearty Creek",-121.901855086,48.660005719,NA,NA,NA,NA,NA,NA
"2281",NA,"Lower Holoman Falls","Holoman Creek",-121.615114815,47.763405704,NA,NA,NA,NA,NA,NA
"2282",NA,"Lower Hudsonian Falls",NA,-123.548485083,47.6005054830001,NA,NA,NA,NA,NA,NA
"2283","steep cascade","Lower Klahanie Falls","Bear Creek",-121.733175045,48.6130057350001,72,1,"World Waterfall Database",2017-02-17,72,NA
"2284",NA,"Lower Lake West Falls",NA,-123.276754981,47.3475055000001,NA,NA,NA,NA,NA,NA
"2285",NA,"Lower Lost Lake Falls","Oyster Creek",-122.459565177,48.6639056560001,NA,NA,NA,NA,NA,NA
"2286",NA,"Lower Middle Fork Nooksack Falls","Middle Fork Nooksack River",-121.892311102,48.731403723,29,2,"World Waterfall Database",2017-02-17,43,NA
"2287","steep cascade","Lower Morovitz Falls","Morovitz Creek",-121.677245074,48.7596057490001,35,2,"World Waterfall Database",2017-02-17,50,NA
"2288",NA,"Lower Murhut Falls","Murhut Creek",-123.053615025,47.6778055410001,NA,NA,"World Waterfall Database",2017-02-17,50,NA
"2289",NA,"Lower Nine Stream Falls","Nine Stream",-123.347255055,47.6143055050001,NA,NA,NA,NA,NA,NA
"2290",NA,"Lower North Fork Tolt Falls","North Fork Tolt River",-121.796934831,47.70670568,NA,NA,NA,NA,NA,NA
"2291",NA,"Lower Philippa Falls","Philippa Creek",-121.625454782,47.6180056950001,NA,NA,NA,NA,NA,NA
"2292",NA,"Lower Potter Falls",NA,-122.220415169,48.784205689,NA,NA,NA,NA,NA,NA
"2293",NA,"Lower Price Falls","Price Creek",-121.61276509,48.8639057620001,NA,NA,NA,NA,NA,NA
"2294",NA,"Lower Rankin Falls","Rankin Creek",-121.907885105,48.734305722,NA,NA,NA,NA,NA,NA
"2295","plunge","Lower SMC Falls",NA,-121.70474478,47.5547056820001,NA,1,"World Waterfall Database",2017-02-17,50,NA
"2296",NA,"Lower South Fork Hoh Falls","South Fork Hoh River",-123.736075156,47.7811054700001,NA,NA,NA,NA,NA,NA
"2297",NA,"Lower Stickney Ridge Falls",NA,-121.656304854,47.896205706,NA,NA,NA,NA,NA,NA
"2298","plunging punchbowl","Lower Sulphur Creek Falls","Sulphur Creek",-121.711105054,48.6590057400001,24,1,"World Waterfall Database",2017-02-17,24,NA
"2299",NA,"Lower Sulphur Moraine Falls",NA,-121.7844551,48.735005740935,NA,NA,NA,NA,NA,NA
"2300",NA,"Lower Sundown Falls",NA,-123.517375064,47.539905483,NA,NA,NA,NA,NA,NA
"2301",NA,"Lower Tatasum Falls",NA,-121.680095092,48.8278057520001,NA,NA,NA,NA,NA,NA
"2302",NA,"Lower Twin Creek Falls","Twin Creek",-123.21669507,47.755505527,NA,NA,NA,NA,NA,NA
"2303","segmented horsetails","Lower Twin Falls","Wilson Creek",-121.7415649,48.027405704,236,1,"World Waterfall Database",2017-02-17,236,NA
"2304","tiered horsetail","Lower Wallace Falls","Wallace Creek",-121.656474848,47.872505705,66,5,"World Waterfall Database",2017-02-17,212,NA
"2305",NA,"Lower Wells Creek Falls","Wells Creek",-121.80097513,48.8948057420001,NA,NA,NA,NA,NA,NA
"2306","veiling horsetail","Lower West Austin Creek Falls","West Fork Austin Creek",-122.342535169,48.7065056710001,34,1,"World Waterfall Database",2017-02-17,34,NA
"2307","gradual cascade","Lower Whatcom Falls","Whatcom Creek",-122.481665205,48.7550056580001,NA,1,"World Waterfall Database",2017-02-17,15,NA
"2308",NA,"Lower Whitehorse Falls","Whitehorse Creek",-123.249205033,47.5830055150001,NA,NA,NA,NA,NA,NA
"2309","gradual cascade","Ludlow Falls","Ludlow Creek",-122.708045029,47.917205591,15,2,"World Waterfall Database",2017-02-17,25,NA
"2310",NA,"Lyre River Falls","Lyre River",-123.826855255,48.123505476,NA,NA,NA,NA,NA,NA
"2311",NA,"Madeline Falls","Madeline Creek",-123.370755046,47.5614055,NA,NA,NA,NA,NA,NA
"2312","horsetail","Madison Falls","Madison Creek",-123.588535198,48.0419054990001,76,1,"World Waterfall Database",2017-02-17,76,NA
"2313","veiling plunge","Maid Of The Mist Falls",NA,-121.94974476,47.300905642,NA,1,"World Waterfall Database",2017-02-17,50,NA
"2314",NA,"Maiden Lake Falls",NA,-121.660855081,48.7984057530001,NA,NA,NA,NA,NA,NA
"2315",NA,"Maidenhair Falls","West Branch Wynoochee River",-123.559495049,47.4517054740001,NA,NA,NA,NA,NA,NA
"2316",NA,"Maple Falls","Maple Creek",-124.089995215,47.8033054310001,NA,NA,NA,NA,NA,NA
"2317","gradual cascade","Maple Falls","Maple Creek",-122.074085183,48.9239057120001,5,2,"World Waterfall Database",2017-02-17,10,NA
"2318","gradual cascade","Marckworth Falls","Youngs Creek",-121.82501486,47.8083056830001,NA,1,"World Waterfall Database",2017-02-17,15,NA
"2319","tiered plunge","Marietta Falls","O'Toole Creek",-121.91908505,48.5074057090001,152,2,"World Waterfall Database",2017-02-17,152,NA
"2320",NA,"Marion Falls",NA,-123.584525124,47.743405485,NA,NA,NA,NA,NA,NA
"2321","plunge","Marsh Creek Falls","Marsh Creek",-121.795584886,47.9333056930001,NA,1,"World Waterfall Database",2017-02-17,125,NA
"2322",NA,"Martin Creek Falls","Martin Creek",-123.6920452,47.8613054809384,NA,NA,NA,NA,NA,NA
"2323","plunge","Marymere Falls","Falls Creek",-123.788775231,48.049505477,119,1,"World Waterfall Database",2017-02-17,119,NA
"2324",NA,"Marys Falls",NA,-123.493465148,47.901405503,NA,NA,NA,NA,NA,NA
"2325","tiered plunge","May Creek Falls","May Creek",-121.624184839,47.8542057080001,20,4,"World Waterfall Database",2017-02-17,80,NA
"2326","tiered plunge","Mazama Falls","Wells Creek",-121.740725108,48.8498057470001,200,7,"World Waterfall Database",2017-02-17,497,NA
"2327",NA,"Mazama Lake Falls",NA,-121.721705104,48.8490057490001,NA,NA,NA,NA,NA,NA
"2328",NA,"McCarty Creek Falls","McCarty Creek",-122.229045157,48.7278056850001,NA,NA,NA,NA,NA,NA
"2329","horsetail","McCauley Falls","Hanstead Creek",-121.954274871,47.764505666,NA,1,"World Waterfall Database",2017-02-17,100,NA
"2330",NA,"McClellan Creek Falls","McClellan Creek",-121.649894732,47.3898056790001,NA,NA,NA,NA,NA,NA
"2331","horsetail","McCoy Creek Falls","McCoy Creek",-121.822334868,47.8436056850001,NA,1,"World Waterfall Database",2017-02-17,45,NA
"2332",NA,"McGillicuddy Falls",NA,-121.940005007,48.3274056980001,NA,NA,NA,NA,NA,NA
"2333","tiered plunge","McKenna Falls","Union River",-122.786124947,47.5276055630001,NA,NA,NA,NA,NA,NA
"2334","horsetail","Meditation Falls",NA,-121.796324959,48.228405708,94,1,"World Waterfall Database",2017-02-17,94,NA
"2335",NA,"Mercury Falls","Barometer Creek",-121.744185118,48.888105748,NA,NA,NA,NA,NA,NA
"2336","horsetail","Merriman Falls","Merriman Creek",-123.784255095,47.5003054520001,NA,1,"World Waterfall Database",2017-02-17,40,NA
"2337","steep cascade","Mesachie Falls","Bear Creek",-121.735255047,48.6159057360001,106,1,"World Waterfall Database",2017-02-17,106,NA
"2338","plunge","Middle Anderson Creek Falls","Anderson Creek",-121.640795046,48.6731057490001,108,1,"World Waterfall Database",2017-02-17,108,NA
"2339",NA,"Middle Canyon Creek Falls","Canyon Creek",-123.820305206,47.933905468,NA,NA,NA,NA,NA,NA
"2340",NA,"Middle Cedar Falls","Cedar River",-121.768644758,47.4190056680001,NA,NA,"World Waterfall Database",2017-02-17,15,NA
"2341",NA,"Middle Davis Creek Falls","Davis Creek",-121.930095147,48.877705727,NA,NA,NA,NA,NA,NA
"2342",NA,"Middle Falls Creek Falls","Falls Creek",-121.809804694,47.1187056470001,NA,NA,NA,NA,NA,NA
"2343","tiered horsetail","Middle Fork Nooksack Falls","Middle Fork Nooksack River",-121.890465102,48.7321957240001,65,2,"World Waterfall Database",2017-02-17,81,NA
"2344",NA,"Middle Hamma Hamma Falls","Hamma Hamma River",-123.22893503,47.5819855170001,19,1,"World Waterfall Database",2017-02-17,19,NA
"2345",NA,"Middle Hudsonian Falls",NA,-123.548125084,47.6043054830001,NA,NA,NA,NA,NA,NA
"2346",NA,"Middle Martin Creek Falls","Martin Creek",-123.682685167,47.8569054800001,NA,NA,NA,NA,NA,NA
"2347",NA,"Middle Murhut Falls","Murhut Creek",-123.051305024,47.675205541,NA,NA,"World Waterfall Database",2017-02-17,80,NA
"2348",NA,"Middle Rankin Falls","Rankin Creek",-121.906845106,48.735205722,NA,NA,NA,NA,NA,NA
"2349",NA,"Middle Sandy Creek Falls","Sandy Creek",-121.791315087,48.7350057350001,NA,NA,NA,NA,NA,NA
"2350",NA,"Middle Sholes Creek Falls","Sholes Creek",-121.772485113,48.8500057430001,NA,NA,NA,NA,NA,NA
"2351","tiered plunge","Middle Sulphur Creek Falls","Sulphur Creek",-121.72830506,48.6708057390001,14,2,"World Waterfall Database",2017-02-17,19,NA
"2352",NA,"Middle Sulphur Moraine Falls",NA,-121.785935086,48.7364057360001,NA,NA,NA,NA,NA,NA
"2353","segmented gradual cascade","Middle Tokul Creek Falls","Tokul Creek",-121.820514799,47.55650567,NA,NA,NA,NA,NA,NA
"2354",NA,"Middle Voight Creek Falls","Voight Creek",-122.115844731,47.0620056110001,NA,NA,NA,NA,NA,NA
"2355",NA,"Middle Wells Creek Falls","Wells Creek",-121.785585125,48.889005743,NA,NA,NA,NA,NA,NA
"2356",NA,"Middle Whitehorse Falls",NA,-123.258175036,47.5903055140001,NA,NA,NA,NA,NA,NA
"2357",NA,"Mile And A Half Creek Falls","Mile and a Half Creek",-122.93822503,47.7733055580001,NA,NA,NA,NA,NA,NA
"2358",NA,"Mill Creek Falls","Mill Creek",-121.869325038,48.4923057140001,NA,NA,NA,NA,NA,NA
"2359",NA,"Miller Creek Falls","Miller Creek",-121.781164899,47.9975056980001,NA,NA,NA,NA,NA,NA
"2360",NA,"Miller Creek Falls","Miller Creek",-123.149704982,47.433405518,NA,NA,NA,NA,NA,NA
"2361","horsetail","Mineral Creek Falls","Mineral Creek",-123.8844352,47.8696054580001,66,1,"World Waterfall Database",2017-02-17,66,NA
"2362",NA,"Moolock Falls",NA,-121.657074773,47.558505688,NA,NA,NA,NA,NA,NA
"2363",NA,"Moose Creek Falls","Moose Creek",-121.713835,48.247205720937,NA,NA,NA,NA,NA,NA
"2364",NA,"Morse Creek Falls","Morse Creek",-123.347875165,48.0615055270001,NA,NA,NA,NA,NA,NA
