"X","state","country_code","shape","duration_seconds","summary","day_part","latitude","longitude","timezone","population","elevation_m","month","cyear"
1014,"CA","US","disk",300,"This aircraft was making maneuvers that are not physically possible by any known aircraft in all the militaries of the world.","afternoon",37.91576,-122.31164,"America/Los_Angeles",23549,21,8,"2000+"
1015,"TX","US","disk",600,"Three UFO' seen over Dallas, TX during daylight hours","morning",32.78306,-96.80667,"America/Chicago",1300092,128,10,"2000+"
1016,"FL","US","disk",60,"Pensacola Florida sighting of light shiny disk object in March 2002","afternoon",30.42131,-87.21691,"America/Chicago",53193,31,3,"2000+"
1017,"AU","AU","disk",86400,"silver round stationary 50,000 feet 1 hour cesna in size robot in appearence 1981 canberra australia 6 saw 1pm clear day.","morning",-35.28346,149.12807,"Australia/Sydney",367752,2,1,"1980-2000"
1018,"CA","US","disk",900,"Driving East on 210 Fwy, looked to right, and my Daughter and I saw a saucer, fluorcent lights, just kept on hovering, did have a red l","astronomical dusk",34.14778,-118.14452,"America/Los_Angeles",142250,263,11,"2000+"
1019,"CA","US","disk",10,"Santa Clara Ca. I was 13 years old. We were listening to cottonseed Clark counter radio station. When the announcer said folks theres","afternoon",37.35411,-121.95524,"America/Los_Angeles",126215,23,6,"-1960"
1020,"TX","US","disk",300,"waiting for crane at chemical plant late  afternoon object left no vapor trail every other  air craft in area left one","afternoon",30.08605,-94.10185,"America/Chicago",115282,5,3,"2000+"
1021,"CA","US","disk",120,"Three flying saucers suddenly appeared  in the sky, hovered, darted forwarded, hovered, then disappeared.","morning",34.05223,-118.24368,"America/Los_Angeles",3898747,89,7,"-1960"
1022,"ENG","GB","disk",180,"Sighting first by my husband a 100% life long sceptic he awoke me to see the unusual sightquite high above the horizon over farmland/fo","night",53.00415,-2.18538,"Europe/London",258366,189,1,"2000+"
1023,"CA","US","disk",10,"Gray, saucer-shaped object spotted near Covina.","night",34.09001,-117.89034,"America/Los_Angeles",48984,170,9,"2000+"
1024,"WA","US","disk",2700,"Two objects in the sky for 45 min. looked like stars but it was still daylight.","night",48.05176,-122.17708,"America/Los_Angeles",66773,6,7,"2000+"
1025,"NY","US","disk",120,"Round craft with orange lights seen in Buffalo, New York","astronomical dusk",42.88645,-78.87837,"America/New_York",258071,183,7,"2000+"
1026,"TX","US","disk",6,"green disc with red tail trail traveling at downward angel for 6 sec.","civil dawn",31.75872,-106.48693,"America/Denver",681124,1133,11,"2000+"
1027,"ON","CA","disk",1800,"Afternoon white long stationary saucer shape craft witnessed for 30 minutes by five witnesses","morning",43.70011,-79.4163,"America/Toronto",2600000,175,8,"2000+"
1028,"WA","US","disk",60,"White saucer shaped craft, with black tinted windows, and with no noise.","night",46.13817,-122.93817,"America/Los_Angeles",36848,6,8,"2000+"
1029,"TX","US","disk",5,"Sometime in either 1972 or 1973 my grandfather and i were outside sitting down in hico texas when a white saucer type vehicle  flew ver","night",31.98293,-98.03365,"America/Chicago",1326,313,5,"1960-1980"
1030,"CA","US","disk",60,"Saucer shaped craft hovering near Zody's dept store in Canoga Park","astronomical dusk",34.20112,-118.59814,"America/Los_Angeles",60578,243,4,"1960-1980"
1031,"ON","CA","disk",20,"With the lockdown on, I was outside just looking at the little white clouds and pretty blue sky, it came from behind a white cloud goi","astronomical dawn",44.56717,-80.94349,"America/Toronto",21341,158,5,"2000+"
1032,"ENG","GB","disk",30,"Help i saw this and now i have told my story i need to know if you have seen this.","astronomical dusk",53.38297,-1.4659,"Europe/London",556500,114,7,"2000+"
1033,"CA","US","disk",600,"Disc shaped object, multi colored lights around perimeter of the disc, bright spot light shining from bottom of craft, comfirmation","night",34.27834,-119.29317,"America/Los_Angeles",96769,11,4,"1980-2000"
1034,"TX","US","disk",30,"Small saucer camouflages itself at dusk and speeds off","astronomical dusk",30.26715,-97.74306,"America/Chicago",931830,149,11,"2000+"
1035,"TX","US","disk",300,"4 orangish colored objects flying close together then crossed over each other and disappeared","night",29.42412,-98.49363,"America/Chicago",1434625,198,12,"2000+"
1036,"FL","US","disk",600,"Very slow moving disk shaped craft heading towards lighthouse","astronomical dusk",29.21081,-81.02283,"America/New_York",64736,4,11,"2000+"
1037,"TX","US","disk",120,"Disk shaped object observed at close proximity by two adult females and one juvenile male.","morning",29.76328,-95.36327,"America/Chicago",2304580,12,1,"1980-2000"
1038,"WA","US","disk",45,"round, silver-colored, shiny, saucer-shaped object flew at a high rate of speed horizon to horizon - taking about 45 seconds","night",47.42346,-120.31035,"America/Los_Angeles",33636,203,6,"-1960"
1039,"CA","US","disk",120,"Red disk object with the middle being translucent.","afternoon",33.21837,-117.0342,"America/Los_Angeles",9277,400,4,"2000+"
1040,"CA","US","disk",60,"Flying disk seen; more events since then, every few years.","afternoon",35.37329,-119.01871,"America/Los_Angeles",373640,123,4,"1980-2000"
1041,"CA","US","disk",1,"I snapped a photo of some beautiful clouds and later noticed a small disc shaped object near the top of the photo.","afternoon",34.21639,-119.0376,"America/Los_Angeles",67608,54,7,"2000+"
1042,"FL","US","disk",900,"We saw a flying Saucer over Lakeland Florida, and also it was reported the next day in the Lakeland Ledger newspaper","astronomical dusk",28.03947,-81.9498,"America/New_York",104401,60,10,"1960-1980"
1043,"ENG","GB","disk",420,"orange round vessel in sky over Chertsey Surrey.","night",51.50853,-0.12574,"Europe/London",8961989,395,1,"2000+"
1044,"FL","US","disk",60,"i seen a ufo with circling lghts above hotel","nautical dusk",28.30468,-81.41667,"America/New_York",69152,20,7,"2000+"
1045,"ENG","GB","disk",180,"ufo in reading(uk)  500 Lights On Object0: Yes","night",51.45625,-0.97113,"Europe/London",318014,94,2,"2000+"
1046,"CA","US","disk",43200,"Sationary black dots giving off smoke puffs(exhaust) for at least half an hour.","afternoon",34.06334,-117.65089,"America/Los_Angeles",171214,306,12,"2000+"
1047,"NY","US","disk",300,"As I was looking out my window I noticed a bright white oval looking object flying  over near bensonhurst, in Brooklyn at 650pm, it was","afternoon",40.71427,-74.00597,"America/New_York",8804190,10,9,"2000+"
1048,"FL","US","disk",240,"Disk shape floating going up and down. Lights changed from green to red.","night",28.53834,-81.37924,"America/New_York",307573,30,4,"2000+"
1049,"CA","US","disk",300,"Hovering black object spotted over my house.","afternoon",34.05223,-118.24368,"America/Los_Angeles",3898747,89,6,"2000+"
1050,"CA","US","disk",120,"Hovering in distance while I was driving on freeway.  Lights in solid row, then blinking in 1/3 sections, then ""running"" lights, then b","nautical dawn",37.87715,-122.17969,"America/Los_Angeles",19279,151,11,"2000+"
1051,"CA","US","disk",300,"Sacramento ufo arden mall sighting 01/11/12","night",38.58157,-121.4944,"America/Los_Angeles",490712,9,1,"2000+"
1052,"AU","AU","disk",20,"((HOAX??))  saucer shape with three golwing domes.","night",-27.62343,152.76067,"Australia/Brisbane",2958,5,10,"2000+"
1053,"TX","US","disk",5,"Sept 19th 2015. Walking to a gas station looking at the stars. Saw a bright orange reg fire in the sky. I looked right at it and saw th","night",30.50826,-97.6789,"America/Chicago",115997,224,9,"2000+"
1054,"NY","US","disk",60,"Oscillating black-ish/gray spherical object hovering in ther sky and disappeared.","night",40.71427,-74.00597,"America/New_York",8804190,10,8,"2000+"
1055,"BC","CA","disk",60,"fuzzy edged, disklike object, unable to determine altitude or speed due to its appearance, flew in a staight line without course change","afternoon",48.4359,-123.35155,"America/Vancouver",289625,29,9,"2000+"
1056,"FL","US","disk",600,"It was crazy and at first I didnt know it was real but it was!!","night",28.55554,-82.38991,"America/New_York",7854,62,12,"2000+"
1057,"NY","US","disk",120,"An extremely large disc shaped object with green, red and yellow flashing lights flew diagonally across the sky very fast. Disappeared","night",43.30952,-73.64401,"America/New_York",14291,105,9,"2000+"
1058,"TX","US","disk",600,"We saw a UFO that night that was about 400 feet long that made no sound and had a beacon of light shining out of it like it was looking","night",29.42412,-98.49363,"America/Chicago",1434625,198,5,"1980-2000"
1059,"ON","CA","disk",2700,"A very bright , horizontal elliptical disk aprox. the length of a yardstick held at arms length, hovered one hundred feet  away.","night",43.42537,-80.5112,"America/Toronto",256885,195,10,"1960-1980"
1060,"AU","AU","disk",10,"Oz- Adelaide TV News station airs vivid close up video of UK saucer","morning",-34.92866,138.59863,"Australia/Adelaide",1387290,7,8,"2000+"
1061,"CA","US","disk",30,"Highly educated, adult male reports being witness to a metallic looking disk over Los Angeles mountains.","morning",34.05223,-118.24368,"America/Los_Angeles",3898747,89,3,"2000+"
1062,"NY","US","disk",900,"While driving home from work, a huge saucer shaped craft descended from the night sky, and hovered over the tree tops, 50 feet from my","night",41.9537,-73.51068,"America/New_York",940,216,6,"1960-1980"
1063,"ENG","GB","disk",21600,"Was attending a music festival near Lincoln England July 1970. Met someone I vaguely knew from London who convinced me to come with him","night",53.22683,-0.53792,"Europe/London",103813,189,7,"1960-1980"
1064,"CA","US","disk",360,"Sideways classic saucer shape, silvery white, possibly 4 white lights falling straight down. The object appeared to be quite far away,","afternoon",34.11417,-116.43224,"America/Los_Angeles",21600,1027,1,"2000+"
1065,"TX","US","disk",1800,"Sighting of Summer 1975 in Longview, Texas","night",32.5007,-94.74049,"America/Chicago",82287,113,6,"1960-1980"
1066,"NY","US","disk",180,"A bright saucer UFO rose up from behind distant woods, turned left and glided out of sight.","nautical dusk",41.92704,-73.99736,"America/New_York",23436,60,7,"1980-2000"
1067,"FL","US","disk",1800,"3 Lights Hovering in the Sky","night",28.24418,-82.71927,"America/New_York",15842,5,9,"2000+"
1068,"ON","CA","disk",2700,"while watching the eclipse of the moon I noticed a light far out in the heavens that was quite larger and brighter then the other stars","astronomical dusk",43.1334,-80.26636,"America/Toronto",87759,195,5,"1960-1980"
1069,"CA","US","disk",120,"Black disk shaped object  motionless observing airport  free falls and wobbles back up and vanishes.","afternoon",37.35411,-121.95524,"America/Los_Angeles",126215,23,7,"2000+"
1070,"CA","US","disk",120,"Saw two disk shaped or circular objects with green lights on the outer edge in San Diego 11/17/20 on highway 163","astronomical dusk",32.71571,-117.16472,"America/Los_Angeles",1394928,20,11,"2000+"
1071,"BC","CA","disk",20,"My wife and I observed a dark brown/black disk shaped object with a dome of sorts on its top.","night",48.4359,-123.35155,"America/Vancouver",289625,21,1,"2000+"
1072,"CA","US","disk",300,"A shiny, tumbling disk was seen moving slowly to the southeast.","afternoon",34.63915,-120.45794,"America/Los_Angeles",44164,32,8,"2000+"
1073,"CA","US","disk",180,"15-20 white disk shaped objects circling in the sky as if orbiting something.","morning",33.72255,-116.37697,"America/Los_Angeles",51869,67,4,"2000+"
1074,"FL","US","disk",2,"Disc shaped with red orb spotted","afternoon",27.94752,-82.45843,"America/New_York",384959,1,12,"2000+"
1075,"FL","US","disk",50,"Silver disk with a slight dome in the center, about 20-30 feet in diameter, made no sound.","afternoon",30.63241,-87.03969,"America/Chicago",9628,10,9,"2000+"
1076,"FL","US","disk",3600,"Encounter with disked shape UFO on campus of Florida Presbyterian College with 30 others","night",27.77086,-82.67927,"America/New_York",257083,13,3,"1960-1980"
1077,"FL","US","disk",30,"Florida, Casselberry: Disc shaped object flying from NE to NW about 2000 ft altitude, unknown speed.","afternoon",28.67778,-81.32785,"America/New_York",27056,17,9,"2000+"
1078,"WA","US","disk",600,"black disk flipping over or rolling over end to end.","afternoon",47.60621,-122.33207,"America/Los_Angeles",737015,56,6,"2000+"
1079,"FL","US","disk",600,"2 large spinning red orange discs and dozens of star sized craft,","night",27.35197,-81.32631,"America/New_York",2164,20,5,"2000+"
1080,"CA","US","disk",300,"11/05/06, Tiburon, Ca 11:45am, viewed flying disc for 5 minutes, it turned and banked slowly with bright reflection","afternoon",37.87354,-122.45664,"America/Los_Angeles",9214,4,11,"2000+"
1081,"NY","US","disk",5,"While watching a movie ""Captain Horatio Hornblower"", the HMS Southerland in a battle with a French castle and four French ships,(about","morning",40.75566,-73.88541,"America/New_York",67067,24,6,"-1960"
1082,"NY","US","disk",1200,"Look I feel kind of crazy writing this: But this is what I saw! I walked outside to smoke in my driveway. For some reason I looked up a","afternoon",40.70732,-73.67596,"America/New_York",29320,20,6,"2000+"
1083,"CA","US","disk",180,"UFO over chino California caught on film...","morning",34.01223,-117.68894,"America/Los_Angeles",85595,222,7,"2000+"
1084,"TX","US","disk",120,"An out of control disk shape ship with an interesting white light.","night",26.20341,-98.23001,"America/Chicago",140269,37,3,"1980-2000"
1085,"CA","US","disk",240,"It was hovering over a housing unit for at least 2 minutes then I went to gaze at it better an it came towards me above my apartment un","night",37.99742,-121.71245,"America/Los_Angeles",39813,6,9,"2000+"
1086,"TX","US","disk",1800,"Awakened by hovering disk over residential area.","night",29.76328,-95.36327,"America/Chicago",2304580,12,7,"1980-2000"
1087,"FL","US","disk",60,"During the aftermath of the second hurricane to hit Florida I was cleaning up debris to be taken to a site the county had set up for di","afternoon",28.14612,-82.75677,"America/New_York",24605,7,7,"2000+"
1088,"NY","US","disk",600,"I saw a large sauser shaped craft hovering over power lines for 10 minutes,then it flew away rapidly.","afternoon",41.11121,-74.06848,"America/New_York",18412,167,9,"1960-1980"
1089,"WA","US","disk",10,"saucer shaped disk moving across clouds","afternoon",48.24121,-122.37071,"America/Los_Angeles",6779,2,7,"2000+"
1090,"CA","US","disk",300,"at least 300 foot dia.  50 foot  in height . Light from bottom center. light from square ports 10 ft. by 10 ft.","afternoon",38.58157,-121.4944,"America/Los_Angeles",490712,9,6,"1960-1980"
1091,"NY","US","disk",2,"Disk with lights around the outside","nautical dusk",40.72093,-73.26734,"America/New_York",3088,7,7,"2000+"
1092,"CA","US","disk",120,"((HOAX??))  I went outside to enjoy the sun and I observed an unusual object in the daytime sky.","afternoon",33.78779,-117.85311,"America/Los_Angeles",140992,58,9,"2000+"
1093,"CA","US","disk",1800,"Approximently early 1980- 1981 I was climbing the mountains west  Needles CA. I heard over a CB radio that a ball of fire was coming ac","night",34.84806,-114.61413,"America/Los_Angeles",4984,151,3,"1980-2000"
1094,"ENG","GB","disk",60,"Unidentified Flying Object, Not man made.","night",53.81667,-3.05,"Europe/London",145007,189,9,"2000+"
1095,"FL","US","disk",180,"I saw a flashing red circular UFO, moving across the sky.  And it came to the middle and disappeared.","night",26.97617,-82.09064,"America/New_York",54392,1,7,"2000+"
1096,"CA","US","disk",300,"event date 7/03/2011 @ 16:00 hrs  duration approx:5 min city of burbank,ca  91505 los angles county 1 witness that i know of but there","afternoon",37.32328,-121.93162,"America/Los_Angeles",4926,37,7,"2000+"
1097,"FL","US","disk",600,"The Moon, Jupiter and a UFO in Floridas night sky.","nautical dawn",28.03446,-80.58866,"America/New_York",107888,5,5,"2000+"
1098,"CA","US","disk",60,"At about nine oclock on a clear sunny day when I looked out the window of the train and saw two silver disks side by side very close t","morning",32.71571,-117.16472,"America/Los_Angeles",1394928,20,1,"2000+"
1099,"CA","US","disk",120,"Objects were flying very high and circling. They started to straighten out when two of them shot off in the opposite direction. Lost si","afternoon",33.49364,-117.14836,"America/Los_Angeles",110003,310,2,"2000+"
1100,"AU","AU","disk",300,"Large bright orange light","night",-37.97132,146.98366,"Australia/Melbourne",5050,1,4,"2000+"
1101,"TX","US","disk",45,"I was sitting on a barrel in the middle of the arena holding the reigns of my horse who began to walk around spooked a bit I look up an","afternoon",29.42412,-98.49363,"America/Chicago",1434625,198,5,"1960-1980"
1102,"CA","US","disk",1800,"A large, metalic disc over the silcon valley region of California.","morning",36.97412,-122.0308,"America/Los_Angeles",64220,11,10,"2000+"
1103,"CA","US","disk",86400,"I was in the back yard with grandkids,saw a bright light in the sky coming towards us,it stopped over my house,then i started taken vid","morning",37.33939,-121.89496,"America/Los_Angeles",1026908,26,1,"2000+"
1104,"CA","US","disk",1200,"""People of Earth; unite and love each other""","afternoon",34.09529,-118.12701,"America/Los_Angeles",85551,150,9,"1960-1980"
1105,"TX","US","disk",172800,"Orange glowing crafts seen over College Station, Tx","night",30.62798,-96.33441,"America/Chicago",107889,103,10,"2000+"
1106,"ENG","GB","disk",900,"UFO sighting in bristol bright lights hovering still and cricling the sky before landing.","night",51.45523,-2.59665,"Europe/London",465866,216,12,"2000+"
1107,"CA","US","disk",10,"Two fast and low disks haulin' a**","morning",37.36883,-122.03635,"America/Los_Angeles",155805,39,7,"1960-1980"
1108,"AU","AU","disk",3600,"it was scary","night",-31.95224,115.8614,"Australia/Perth",2192229,2,2,"2000+"
1109,"WA","US","disk",300,"Hovering up and down , flashing red and white lights , disappeared without a trace no noise. ((anonymous report))","civil dusk",47.48288,-122.21707,"America/Los_Angeles",100242,12,10,"2000+"
1110,"AU","AU","disk",360,"The disc was acompanyed by two other craft before it flew off at high speed and it was a reflective silver with lights around the rim","night",-34.99766,138.62077,"Australia/Adelaide",4288,3,11,"1980-2000"
1111,"TX","US","disk",2100,"Formation of lights over night sky in Texarkana, Texas.  Spun horizontal, vertical and than diagonally.","night",33.42513,-94.04769,"America/Chicago",37280,91,5,"2000+"
1112,"FL","US","disk",900,"((HOAX??))  Sunrise UFO in Palm Bay Florida.  ((NUFORC Note:  Date is flawed.  PD))","civil dawn",28.03446,-80.58866,"America/New_York",107888,5,3,"2000+"
1113,"ENG","GB","disk",60,"An object had taken off from my garden, leaving a long vapour trail, rising diagonally in line with the trees.","night",51.12837,-3.00356,"Europe/London",41276,189,8,"2000+"
1114,"CA","US","disk",2,"Saucer-shaped object tilting to the left with white glowing ring around it in 1st pic, 2nd pic (seconds after) craft was gone.","afternoon",37.79781,-120.99792,"America/Los_Angeles",7523,36,10,"2000+"
1115,"NY","US","disk",2400,"Disk with two dim red lights, surrounded by a blue aura, with a light whirring sound, almost inaudible. ~300ft in the air","nautical dusk",41.33065,-74.18681,"America/New_York",8632,196,7,"2000+"
1116,"CA","US","disk",1200,"Silent disk in afternoon daylight with over twenty witnesses","afternoon",33.79224,-118.31507,"America/Los_Angeles",20785,29,10,"1960-1980"
1117,"WA","US","disk",60,"The object traveled at a steady pace towards Mount Rainier.","afternoon",47.10399,-122.43457,"America/Los_Angeles",27227,116,10,"2000+"
1118,"FL","US","disk",60,"silver shinny object in sky","afternoon",30.42131,-87.21691,"America/Chicago",53193,31,3,"2000+"
1119,"NY","US","disk",180,"Slow moving object in the sky with deep red and blue interchanging colors flashing running around it. A few seconds later a helicopter","night",40.71427,-74.00597,"America/New_York",8804190,10,10,"2000+"
1120,"TX","US","disk",360,"Slow moving object, hovering around highway, flashing lights, no noise low altitude","night",33.12123,-97.18335,"America/Chicago",3905,213,1,"2000+"
1121,"CA","US","disk",600,"As clear as life, as like I had never seen a real saucer craft .

 500 Lights On Object0: Yes","afternoon",36.67774,-121.6555,"America/Los_Angeles",157380,16,8,"1980-2000"
1122,"CA","US","disk",600,"It was a saucer with 4 lights & tan glow","night",32.76783,-117.02308,"America/Los_Angeles",60089,161,8,"2000+"
1123,"ON","CA","disk",240,"was standing at the balcony of my apartment at the 14th floor of a flat ...   at about 10.30 in the night i saw a green disc which was","night",43.70011,-79.4163,"America/Toronto",2600000,195,10,"1980-2000"
1124,"CA","US","disk",300,"Walked on a bridge over a freeway, took two pictures quickly, noticed after that there were two saucers and they disappeared","morning",34.21639,-119.0376,"America/Los_Angeles",67608,54,7,"2000+"
1125,"TX","US","disk",60,"Saucer shaped object with glowing orange light that vanished behind a solitary cloud in broad daylight.","afternoon",29.66578,-95.01937,"America/Chicago",35148,6,6,"1960-1980"
1126,"CA","US","disk",600,"((HOAX??)  Weird disc flying across san diego.  ((anonymous report))","night",32.71571,-117.16472,"America/Los_Angeles",1394928,20,1,"2000+"
1127,"NY","US","disk",30,"Large disk shaped flying object with lights spotted in Albany NY before dawn","nautical dawn",42.65258,-73.75623,"America/New_York",98469,45,10,"2000+"
1128,"CA","US","disk",1800,"dull black disc made circles in the sky.","morning",32.79477,-116.96253,"America/Los_Angeles",103679,133,7,"2000+"
1129,"FL","US","disk",120,"Two bright white blinking lights on low hovering disk, moved quickly.","night",27.33643,-82.53065,"America/New_York",55118,7,1,"2000+"
1130,"FL","US","disk",86400,"craft over the beach during storm","afternoon",29.21081,-81.02283,"America/New_York",64736,4,3,"2000+"
1131,"FL","US","disk",15,"Shiny silver disc traveling at a fast pace on the outskirt of the clouds with grandson in Tampa, FL.","morning",27.94752,-82.45843,"America/New_York",384959,1,8,"2000+"
1132,"FL","US","disk",15,"Round- Disc Shaped Craft  with 4 - 5 windows or lights, hovering silently in lower level of clouds","night",27.33643,-82.53065,"America/New_York",55118,7,3,"2000+"
1133,"NY","US","disk",30,"LILCO Lot Sighting","nautical dusk",40.64316,-73.69569,"America/New_York",6819,6,9,"1980-2000"
1134,"CA","US","disk",120,"I watched a ufo cruise by my house at  21:00 at low altitudes, noiselessly with ferriswheel  lights wit a strangesaucer shape.","night",36.06523,-119.01677,"America/Los_Angeles",56058,140,1,"2000+"
1135,"ENG","GB","disk",600,"saurcer with 7 lights","night",50.63699,-4.36006,"Europe/London",8910,147,11,"1980-2000"
1136,"NY","US","disk",60,"Upside down, it flew like that till it was even with me.  It hovered for 20 sec., then it flipped over.  Much more happened.","night",40.71427,-74.00597,"America/New_York",8804190,10,6,"2000+"
1137,"WA","US","disk",120,"Thin white or gray line, like side of disc, with two lights in the middle moving across the early morning sky.","night",47.60621,-122.33207,"America/Los_Angeles",737015,56,3,"2000+"
1138,"CA","US","disk",300,"This happend around nine o'clock, my brother was watching the fire works when all of a sudden he went as white as a ghost, my mother we","nautical dusk",33.86224,-118.39952,"America/Los_Angeles",19860,8,7,"1980-2000"
1139,"CA","US","disk",300,"Saucer in California with Red, White, and Blue lights seen when driving","night",33.72835,-117.14642,"America/Los_Angeles",87174,452,8,"1980-2000"
1140,"ENG","GB","disk",60,"Disc shaped craft seen hovering above road/buildings whilst in traffic. Amazing energy field surrounding craft.","morning",53.48095,-2.23743,"Europe/London",395515,46,3,"2000+"
1141,"NY","US","disk",60,"Disc Shape Hovering,  ((Starlink satellites?))","night",41.53565,-73.89903,"America/New_York",2133,67,12,"2000+"
1142,"CA","US","disk",60,"UFO disk shape seen on 8/2/2021, traveling at a fast rate, NW to E, 20:25 pm, 0ntario, California 91761, at the same time as ISS was pa","nautical dusk",34.06334,-117.65089,"America/Los_Angeles",171214,306,8,"2000+"
1143,"AU","AU","disk",300,"Ufo had centre light that pulsated at irregular intervals.  ((NUFORC Note:  Student report.  Probable hoax.  PD))","night",-28.77897,114.61459,"Australia/Perth",37648,1,6,"2000+"
1144,"CA","US","disk",30,"Silver disc hovers high over rush hour traffic then speeds off over Pacific Ocean.","afternoon",34.21639,-119.0376,"America/Los_Angeles",67608,54,6,"2000+"
1145,"CA","US","disk",30,"UFO sighting.","afternoon",36.06523,-119.01677,"America/Los_Angeles",56058,140,8,"1980-2000"
1146,"FL","US","disk",600,"Black disk shaped object seen as I was driving home after night shift work. Estimated it to be football field size from its perceived h","night",28.61222,-80.80755,"America/New_York",45393,3,10,"2000+"
1147,"NY","US","disk",5,"from rt. 104 looking north saw bright orange light that faded away into a clear starlit night. traveling north toward lake ontario saw","nautical dusk",43.2209,-77.28304,"America/New_York",2160,134,2,"1980-2000"
1148,"TX","US","disk",300,"This object was disc shaped and parked frozen next to a low cloud formation directly in the sky over head. The sun light bouncing off i","afternoon",29.76328,-95.36327,"America/Chicago",2304580,12,8,"2000+"
1149,"CA","US","disk",900,"My family and I observer a silver disk shaped object moving in a straight line turning end-over-end.","morning",34.42083,-119.69819,"America/Los_Angeles",91842,15,8,"2000+"
1150,"CA","US","disk",35,"I was terrified but shocked at same time","night",36.20773,-119.34734,"America/Los_Angeles",62315,88,12,"2000+"
1151,"WA","US","disk",1200,"Spotted glowing disks off to east over Mukelto area.  They were pulsating. Suddenly flashed, blinked, rose straight up & half of them f","civil dusk",47.9187,-122.55431,"America/Los_Angeles",3091,8,9,"1960-1980"
1152,"CA","US","disk",900,"Saucer hovers three stories above car, lights around rim, no sound,","afternoon",37.9577,-121.29078,"America/Los_Angeles",305658,4,7,"1980-2000"
1153,"ON","CA","disk",86400,"09/05/18-Grimsby-round shape-1 hour duration-yellow circle shape stayed in same spot over Lake Ontario.","night",43.70011,-79.4163,"America/Toronto",2600000,169,9,"2000+"
1154,"CA","US","disk",300,"Small disc hovers over our backyard.","afternoon",37.33939,-121.89496,"America/Los_Angeles",1026908,26,3,"2000+"
1155,"CA","US","disk",30600,"I saw 7 lights in the sky and I saw the figure when the deadlights sweeped on it.","civil dusk",34.05223,-118.24368,"America/Los_Angeles",3898747,89,9,"2000+"
1156,"FL","US","disk",300,"Flying saucer and a C130 at low altitude","afternoon",29.61329,-82.81762,"America/New_York",2066,16,7,"2000+"
1157,"TX","US","disk",30,"Spotted over Pershing Park (Fort Hood family housing area). Large basically saucer shaped craft. with compartment on top.Hatch visible.","afternoon",31.13489,-97.77561,"America/Chicago",29589,273,6,"1960-1980"
1158,"ON","CA","disk",10,"I was looking west watching a commercial jet fly overhead and noticed three disc shaped objects that formed a triangle move quickly and","astronomical dusk",43.70011,-79.4163,"America/Toronto",2600000,195,4,"1980-2000"
1159,"TX","US","disk",300,"1/6/06   a round silver object in Whitehouse ,TX","night",32.22682,-95.2255,"America/Chicago",8189,146,1,"2000+"
1160,"ON","CA","disk",300,"I saw a metallic, saucer shaped,  buzzing and very visible saucer at a short distance","night",43.70011,-79.4163,"America/Toronto",2600000,169,12,"1980-2000"
1161,"CA","US","disk",2700,"Chirstmas eve 2006 sighting in Manteca California 3:35am.","night",37.79743,-121.21605,"America/Los_Angeles",75448,11,12,"2000+"
1162,"FL","US","disk",60,"i seen a craft about the size of a building flying above hwy 192","nautical dusk",28.30468,-81.41667,"America/New_York",69152,20,7,"2000+"
1163,"FL","US","disk",480,"A definite aircraft shaped like a flat top straw hat with lights","night",26.23786,-80.12477,"America/New_York",107762,4,4,"2000+"
1164,"CA","US","disk",1200,"The space craft was flying at a 45 degree angle, approximatly a mile high, running parallel to Van Nuy Blvd on a clear day.","afternoon",34.18667,-118.44897,"America/Los_Angeles",136443,217,10,"1980-2000"
1165,"CA","US","disk",360,"So i took the first couple pictures at 4:44pm and then the last 2 at 4:50pm and never saw what i captured until a week later when i was","night",38.61713,-121.32828,"America/Los_Angeles",61762,37,11,"2000+"
1166,"BC","CA","disk",1800,"I OBSERVED A  HOVERING DISK SHAPED OBJECT WITH A RED AND WHITE BALL OF LIGHT IN THE CENTER .","night",49.88307,-119.48568,"America/Vancouver",142146,326,8,"2000+"
1167,"NY","US","disk",180,"disks in a circle overhead","afternoon",40.72121,-73.15761,"America/New_York",1489,4,6,"1980-2000"
1168,"WA","US","disk",210,"7 year old describes red ufo at 4th of July gathering","astronomical dusk",47.30732,-122.22845,"America/Los_Angeles",77006,25,7,"2000+"
1169,"CA","US","disk",180,"Round shaped, green lights x 4 each, approached from westward direction, headed eastward, ""it stopped completely"", lights changed color","nautical dusk",34.1064,-117.37032,"America/Los_Angeles",103132,383,4,"1980-2000"
1170,"CA","US","disk",300,"I witnessed a hovering saucer craft with  lights circling, not making a sound, flying over my city.","night",37.8227,-121.27661,"America/Los_Angeles",20866,7,11,"2000+"
1171,"CA","US","disk",1200,"UFO responds to signals","night",36.60024,-121.89468,"America/Los_Angeles",28338,8,9,"1960-1980"
1172,"ON","CA","disk",129600,"Flying disc spotted over Barrie Ontario","nautical dusk",44.40011,-79.66634,"America/Toronto",141434,175,1,"2000+"
1173,"CA","US","disk",5,"A disk shaped object glowing in bright green light flying with high speed from north to south direction. I am waiting infront of my bed","night",34.09001,-117.89034,"America/Los_Angeles",48984,170,9,"2000+"
1174,"CA","US","disk",172800,"Pink disc plays ""hide and seek"" with private and miltary planes for 2 hrs.!","afternoon",37.35411,-121.95524,"America/Los_Angeles",126215,23,6,"1960-1980"
1175,"CA","US","disk",1800,"Bright UFO saucer with two red lights on the bottom.","night",33.83585,-118.34063,"America/Los_Angeles",143592,27,1,"2000+"
